2023-12-14 00:33:26.333 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:33:50.538 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 8780 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:33:50.539 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:33:51.926 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:33:51.928 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:33:51.948 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2023-12-14 00:33:53.458 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:33:53.469 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:33:53.469 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:33:53.470 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:33:53.715 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:33:53.721 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:33:53.721 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3133 ms
2023-12-14 00:34:00.976 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:34:01.958 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:34:01.961 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:35:45.846 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 22600 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:35:45.847 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:35:47.293 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:35:47.295 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:35:47.317 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9ms. Found 0 Redis repository interfaces.
2023-12-14 00:35:48.957 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:35:48.967 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:35:48.968 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:35:48.968 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:35:49.219 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:35:49.224 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:35:49.224 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3335 ms
2023-12-14 00:35:49.569 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:35:49.610 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:37:12.916 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 1184 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:37:12.917 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:37:14.375 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:37:14.377 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:37:14.398 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
2023-12-14 00:37:16.012 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:37:16.025 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:37:16.025 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:37:16.026 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:37:16.314 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:37:16.319 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:37:16.319 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3342 ms
2023-12-14 00:37:23.362 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:37:24.335 [redisson-netty-2-19] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /127.0.0.1:6379
2023-12-14 00:37:24.349 [redisson-netty-2-13] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for /127.0.0.1:6379
2023-12-14 00:37:25.092 [main] INFO  c.j.front.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='', picClick='', waterMark='CRMEB Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=300, reqGetMinuteLimit=360, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
2023-12-14 00:37:25.097 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaCache-service:[]
2023-12-14 00:37:25.098 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaTypes-service:[]
2023-12-14 00:37:25.133 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:37:25.135 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:40:53.704 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 23444 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:40:53.705 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:40:55.101 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:40:55.103 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:40:55.122 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8ms. Found 0 Redis repository interfaces.
2023-12-14 00:40:56.632 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:40:56.642 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:40:56.642 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:40:56.642 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:40:56.905 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:40:56.910 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:40:56.910 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3160 ms
2023-12-14 00:41:03.971 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:41:04.844 [redisson-netty-2-23] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /127.0.0.1:6379
2023-12-14 00:41:04.864 [redisson-netty-2-19] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for /127.0.0.1:6379
2023-12-14 00:41:05.298 [main] INFO  c.j.front.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='', picClick='', waterMark='Jbp Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=300, reqGetMinuteLimit=360, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
2023-12-14 00:41:05.305 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaCache-service:[]
2023-12-14 00:41:05.305 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaTypes-service:[]
2023-12-14 00:41:05.344 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2023-12-14 00:41:05.348 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-12-14 00:41:37.245 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 21460 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:41:37.247 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:41:39.163 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:41:39.166 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:41:39.199 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2023-12-14 00:41:41.191 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:41:41.203 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:41:41.203 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:41:41.203 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:41:41.519 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:41:41.525 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:41:41.526 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4214 ms
2023-12-14 00:41:49.561 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:41:50.486 [redisson-netty-2-21] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /127.0.0.1:6379
2023-12-14 00:41:50.509 [redisson-netty-2-19] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for /127.0.0.1:6379
2023-12-14 00:41:51.020 [main] INFO  c.j.front.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='', picClick='', waterMark='Jbp Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=300, reqGetMinuteLimit=360, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
2023-12-14 00:41:51.031 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaCache-service:[]
2023-12-14 00:41:51.031 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaTypes-service:[]
2023-12-14 00:43:50.406 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 20940 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:43:50.409 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:43:52.315 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:43:52.318 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-12-14 00:43:52.349 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 Redis repository interfaces.
2023-12-14 00:43:54.227 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-12-14 00:43:54.244 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-12-14 00:43:54.245 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-12-14 00:43:54.246 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2023-12-14 00:43:54.607 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-12-14 00:43:54.613 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-14 00:43:54.613 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4134 ms
2023-12-14 00:44:03.451 [main] INFO  org.redisson.Version - Redisson 3.14.1
2023-12-14 00:44:04.510 [redisson-netty-2-23] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for /127.0.0.1:6379
2023-12-14 00:44:04.533 [redisson-netty-2-19] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for /127.0.0.1:6379
2023-12-14 00:44:05.059 [main] INFO  c.j.front.config.AjCaptchaServiceAutoConfiguration - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='', picClick='', waterMark='Jbp Java', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=300, reqGetMinuteLimit=360, reqCheckMinuteLimit=60, reqVerifyMinuteLimit=60}
2023-12-14 00:44:11.460 [main] INFO  c.jbp.front.service.captcha.CaptchaServiceFactory - supported-captchaCache-service:[]
2023-12-14 00:45:44.455 [main] INFO  com.jbp.front.JbpFrontApplication - Starting JbpFrontApplication on DESKTOP-N1KDDDI with PID 23528 (E:\work\workspace\jbp\jbp-front\target\classes started by Think in E:\work\workspace\jbp\jbp-front)
2023-12-14 00:45:44.457 [main] INFO  com.jbp.front.JbpFrontApplication - No active profile set, falling back to default profiles: default
2023-12-14 00:45:45.880 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-12-14 00:45:45.882 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
